id,final_name,country_code,postal_code,latitude,longitude
870,Barossa,au,5351,"-34,61341495","138,9385455169364"
903,Valle d'Aosta,it,21000,"45,730099","7,387426"
907,Trentino,it,38121,"46,1029536","11,12974249416882"
924,Baden,de,79215,"48,1928371","8,1390286"
926,Epanomi,gr,575 00,"40,4283368","22,9269435"
959,Valais,ch,3961,"46,2303063","7,6605757"
974,Dealu Mare,ro,407491,"46,7202291","23,1579285"
1124,South Eastern,md,,nan,nan
1364,Tulbagh,za,6820,"-33,285059","19,140667"
1395,Alentejo,pt,7800-246,"38,0551003","-7,8605799"
1414,Ticino,ch,6637,"46,3351913","8,7525902"
1437,Moldova,md,MD-3714,"47,2879608","28,5670941"
1573,Aconcagua Valley,cl,,"-32,8298794","-71,0464094"
1575,Srednja I Juzna Dalmacija,hr,,nan,nan
1596,Agrelo,ar,,"-33,1184629","-68,8859261"
1600,Perdriel,ar,5509,"-33,0734882","-68,8852908"
1610,Tupungato,ar,5561,"-33,3723648","-69,1479533"
1706,Cava,es,25722,"42,31658175","1,6111496867672197"
1723,Mallorca,es,07140,"39,613432","2,8829184529439638"
1729,Rueda,es,47490,"41,4129785","-4,9597533"
1735,Valdeorras,es,,"42,34834155","-6,965998220403876"
1744,El Terrerazo,es,,"39,6222682","-1,2467301"
1786,Empordà,es,17761,"42,290249450000005","2,975109894854852"
1796,Brunello di Montalcino,it,53024,"43,056576","11,5038166"
1798,Chianti Classico,it,53035,"43,3907814","11,3104546"
1801,Vino Nobile di Montepulciano,it,53045,"43,0716467","11,8054771"
1802,Montefalco Sagrantino,it,,nan,nan
1804,Amarone della Valpolicella,it,,nan,nan
1808,Recioto della Valpolicella,it,,nan,nan
1819,Gattinara,it,28078,"45,6142424","8,3711382"
1829,Barbera d'Asti,it,,nan,nan
1836,Valtellina Superiore,it,,nan,nan
1837,Sforzato della Valtellina,it,,nan,nan
1843,Taurasi,it,83030,"41,0083503","14,9574387"
1844,Greco di Tufo,it,,nan,nan
1930,Sonoma Coast,us,,"28,4225165","-81,6551998"
1931,Fort Ross-Seaview,us,95450,"38,5571348","-123,2644524"
2034,Açores,pt,9600-522,"37,80855645","-25,47313739124529"
2046,Pico,pt,,"38,4717536","-28,364256196021977"
2059,Douro Superior,pt,5180-122,"41,0912762","-6,8119369"
2141,Barsac,fr,33720,"44,6043291","-0,323435"
2201,Chambertin Grand Cru,fr,21220,"47,20799895","4,96388969477418"
2202,Chambertin-Clos de Bèze Grand Cru,fr,,nan,nan
2203,Chapelle-Chambertin Grand Cru,fr,,nan,nan
2204,Charmes-Chambertin Grand Cru,fr,,nan,nan
2205,Griotte-Chambertin Grand Cru,fr,,nan,nan
2207,Mazis-Chambertin Grand Cru,fr,,nan,nan
2209,Morey-Saint-Denis,fr,21220,"47,1955052","4,9623167"
2211,Clos de la Roche Grand Cru,fr,21220,"47,20170075","4,963417542859213"
2212,Clos de Lambrays Grand Cru,fr,21220,"47,19806455","4,95900207990256"
