id,name,is_natural,region_id,winery_id,ratings_average,ratings_count,url,acidity,fizziness,intensity,sweetness,tannin,user_structure_count,Sparkling Sweetness
3833417,Fort Ross Seaview Home Field Pinot Noir,0,1931,183545,4.4,483,https://www.grandcruwijnen.nl/2019-raen-fort-ross-seaview-home-field-pinot-noir,Medium,Non-Sparkling,Low,Medium,Low,49.0,
3837960,La Vina de Corteo,0,544,47408,4.7,374,https://www.grandcruwijnen.nl/2019-bodegas-el-nido-la-vina-de-corteo,Low,Non-Sparkling,High,High,High,3.0,
3850423,Dogs of the Barossa Shiraz,0,870,3189,4.4,264,https://www.grandcruwijnen.nl/2018-redheads-dogs-of-the-barossa,Low,Non-Sparkling,High,High,Medium,16.0,
3890782,Brunello di Montalcino Riserva,0,1796,48780,4.4,461,https://www.seulementproduitsitaliens.be/vino/palazzo/13688-palazzo-brunello-di-montalcino-riserva.html?codice=PRP739-2016,Medium,Non-Sparkling,Medium,Low,High,23.0,
3909312,Royal St Robert Cuvée Pinot Noir,0,1930,183545,4.3,2099,https://www.grandcruwijnen.nl/2019-raen-royal-st-robert-cuvee-pinot-noir,Medium,Non-Sparkling,Low,Low,Low,184.0,
3958398,Vigna Grande Cerzito Taurasi Riserva,0,1843,37691,4.5,581,https://www.wijnig.nl/quintodecimo-vigna-grande-cerzito-tauras-135042728.html,Low,Non-Sparkling,High,High,Medium,90.0,
3990250,Rutherford Cabernet Sauvignon,0,105,253,4.3,655,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/duckhorn/28358-duckhorn-rutherford-cabernet-sauvignon.html?codice=GHL363,Medium,Non-Sparkling,High,Low,Medium,38.0,
4000447,Les Blanchiens Brut Nature Champagne Premier Cru,0,4639,21926,4.4,590,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/roger-pouillon-fils/11767-roger-pouillon-fils-les-blanchiens-brut-nature-champagne-premier-cru.html?codice=PLG386-2016,High,Sparkling,Medium,,,125.0,Brut <2g
4086145,Habemus Lazio Rosso (Etichetta Rossa),0,445,97227,4.5,298,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEW=30SGHR17B,Medium,Non-Sparkling,Low,High,Medium,23.0,
4092735,Nebukadnesar,0,853,55934,4.4,3609,https://www.gph-wines.com/#!/Nebukadnesar/p/159482008,Medium,Non-Sparkling,Medium,Low,Medium,158.0,
4135095,Pandorga,0,839,231148,4.4,148,https://xpertvinum.be/products/pandorga-px-2017-0-5l?om=7736,,Non-Sparkling,,,,,
4139613,Vin de Pays de l'Hérault Blanc,0,3077,1983,4.6,1209,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=70GPBL15B,Low,Non-Sparkling,Low,Medium,,67.0,
4216785,Pajè Barbaresco,1,722,2147,4.3,1910,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=00ROPA12M,High,Non-Sparkling,Low,Low,High,99.0,
